provinsi;kab_kota; kecamatan ; tahun ; populasi ; jumlah 
Jawa Timur;Mojokerto; Magersari ;2019; Kambing ;510
Jawa Timur;Mojokerto; Prajurit Kulon ;2019; Kambing ;460
Jawa Timur;Mojokerto; Kranggan ;2019; Kambing ;117
Jawa Timur;Mojokerto; Magersari ;2019; Domba ;180
Jawa Timur;Mojokerto; Prajurit Kulon ;2019; Domba ;350
Jawa Timur;Mojokerto; Kranggan ;2019; Domba ;75
Jawa Timur;Mojokerto; Magersari ;2019; Babi ;0
Jawa Timur;Mojokerto; Prajurit Kulon ;2019; Babi ;6
Jawa Timur;Mojokerto; Kranggan ;2019; Babi ;0
 Jawa Timur ; Kota Mojokerto ; Magersari ;2019;Kerbau;0
 Jawa Timur ; Kota Mojokerto ; Prajurit Kulon ;2019;Kerbau;4
 Jawa Timur ; Kota Mojokerto ; Kranggan ;2019;Kerbau;0
 Jawa Timur ; Kota Mojokerto ; Magersari ;2019;Sapi;13
 Jawa Timur ; Kota Mojokerto ; Prajurit Kulon ;2019;Sapi;81
 Jawa Timur ; Kota Mojokerto ; Kranggan ;2019;Sapi;8
 Jawa Timur ; Kota Mojokerto ; Magersari ;2019;Kuda;0
 Jawa Timur ; Kota Mojokerto ; Prajurit Kulon ;2019;Kuda;0
 Jawa Timur ; Kota Mojokerto ; Kranggan ;2019;Kuda;8
